place_id,name,address,lat,lng
ChIJY-rwFJ91sjURlJjxNZmWbxA,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
ChIJ7dZmtyBxsjURzn0qJLcG9-Q,Rongcheng Community Health Service Station,"6GR9+GMV, Chang Yi Lu, Pu Dong Xin Qu",31.24137019999999,121.5191785
ChIJFfDeMXlxsjURKt9K0JaigM0,Chifeng Community Family Clinic,"密云路471弄3号甲, Mi Yun Lu, Hong Kou Qu",31.282578,121.494902
ChIJzU_JlbJ1sjURk5oMMcyoKnA,Pujiang Dongxu Health Service Station,"7HVM+CMX, Lai Yang Lu, Pu Dong Xin Qu",31.293623,121.584244
ChIJ65A8saF6sjURGmg5ei4kkvA,上海交通大学医学院附属瑞金医院,"197 Rui Jin Er Lu, Huang Pu Qu",31.21062,121.467361
ChIJ2TMlIgZwsjURlGITCvDK4rQ,Shanghai First Maternity and Infant Hospital Out-patients Building,"536 Chang Le Lu, Jing An Qu",31.22003,121.456521
ChIJm3QlUhVwsjURk63f0Uo9sOU,Shanghai Changzheng Hospital,"415 Feng Yang Lu, Huang Pu Qu",31.23285,121.467218
ChIJ3QX9ubd6sjURz02iX-DQ-Xo,复旦大学附属中山医院,"180 Feng Lin Lu, Xu Hui Qu",31.1976343,121.4547657
ChIJezPBIgZwsjURB5GGB_rzMCI,Baby Friendly Hospital,"同济大学附属第一妇婴保健院, 536 Chang Le Lu, Jing An Qu",31.220027,121.456398
ChIJ1-3Uf35DsjURyiC-U7qu5rE,"The Health Station of Qianjin Village, Anting Town","85HF+FHF, Jia An Gong Lu, Jia Ding Qu",31.32868029999999,121.1739076
ChIJhSXS9MVksjURu7lJQP40VHI,Shiba Hospital Fare Clinic,"9788 Hu Min Lu, Xu Hui Qu, Shang Hai Shi",31.166952,121.434011
ChIJ2Yt6j8dlsjURkC9DE7K2xvw,长宁区中心医院-发热门诊,"695G+HJ3, Changning District",31.208879,121.376532
ChIJ1yRR81RlsjURK7LTtOhYWe4,华山医院综合楼,"乌鲁木齐中路12号, Jing An Qu, Shang Hai Shi",31.21602,121.443144
ChIJl_z0pttxsjURKo37l3PMXHI,"International Emergency Assistance, Ministry of Health, the People's Republic of China Network Hospital","301 Yan Chang Zhong Lu, 闸北区",31.271786,121.453929
ChIJayK5UKVwsjUROlzyabMAHbc,Renji Hospital Affiliated to Shanghai Jiaotong University School of Medicine,"1630 Dong Fang Lu, Pu Dong Xin Qu",31.207179,121.525056
ChIJR863Wz1ysjUR7KP5oKJCy-0,Shanghai Fuda Hospital,"场中路628号, Hong Kou Qu",31.30613,121.469507
ChIJpQKQw5FxsjURCMqKupOF7A8,海军上海保障基地医院,"652 Shui Dian Lu, Hong Kou Qu",31.28216,121.475923
ChIJd2e2MjxlsjURGOAt5PwBWK0,上海交通大学附属胸科医院,"241 Huai Hai Xi Lu, Xu Hui Qu",31.198245,121.42569
ChIJlwzsEVxwsjURIsfhfVgvmDI,仁济医院食堂西部,"145 Shan Dong Zhong Lu, Huang Pu Qu",31.23365,121.484474
ChIJQ0cWLwNwsjURzRev0sofOt4,市儿童保健所,"24 北京西路1400弄, Jing An Qu",31.22895699999999,121.448644
ChIJzfjZ51RlsjURelOa2F-6TDc,Huashan Hospital,"12 Wu Lu Mu Qi Zhong Lu, Jing An Qu",31.216624,121.443046
ChIJqTU3M6x6sjURSFIyxrmHogI,复旦大学附属眼耳鼻喉科医院,"19 Bao Qing Lu, Xu Hui Qu",31.210224,121.450231
ChIJc0Fdt49zsjURg9eENcuKYcs,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
ChIJT1pm7M16sjURCgynYc9OidQ,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,China,31.18797000000001,121.450117
ChIJ3QX9ubd6sjURLcpQNCbdmvU,Zhongshan Hospital Fudan University,"111 Yi Xue Yuan Lu, Xu Hui Qu",31.19884699999999,121.453345
ChIJv0lK7cdlsjURLHCiv04x09Q,Shanghai United Family Hospital and Clinics,"1139 Xian Xia Lu, Chang Ning Qu",31.208276,121.376323
ChIJNYLcxc56sjURRf50GiiM0bM,Fudan University Attached Tumor Hospital,"399 Ling Ling Lu, Xu Hui Qu",31.190624,121.4531
ChIJ1efgBjB2sjURc7a1anD44UM,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
ChIJXYEjsZxjsjURQowsVMQ2fyA,Children's Hospital of Fudan University,"399 Wan Yuan Lu, Min Hang Qu",31.139468,121.395243
ChIJA3lzJqpxsjURXfbihuLqwjE,Shanghai First People's Hospital North Branch,"100 Hai Ning Lu, Hong Kou Qu",31.25335499999999,121.489276
ChIJxyOPwzZlsjUR-2g33DA4BQs,国际和平妇幼保健院服务部,"衡山路910号, Xu Hui Qu, Shang Hai Shi",31.195646,121.439399
ChIJ4ZHr8t1ksjURnBTzhx9B5kQ,Shanghai Sixth People's Hospital,"600 Yi Shan Lu, Xu Hui Qu",31.177675,121.423371
ChIJlwzsEVxwsjUR8yD3xLoHymA,Renji Hospital,"145 Shan Dong Zhong Lu, Huang Pu Qu",31.233608,121.48446
ChIJ5x1Bo0J2sjURKzHB3-aWIQ8,Fudan University Affiliated Huashan Hospital East Hospital Area,"525 Hong Feng Lu, Pu Dong Xin Qu",31.239668,121.595225
ChIJTUKB_8VzsjUR0_yLd0zuo_w,Tongji University Affiliated Shanghai Pulmonary Hospital,"507 Zheng Min Lu, Yang Pu Qu",31.30129799999999,121.502771
