place_id,name,address,lat,lng
ChIJ38zAqPzmAjQRaibXbf_oaIU,Guangzhou Huadu Blood Station,"C762+36H, 河畔东路, Hua Du Qu, Guang Zhou Shi",23.4101785,113.2505958
ChIJD2ZXTjMHAzQRYiM2UHx3tD0,广州文船小学,"红山三路32号, Huang Pu Qu, Guang Zhou Shi",23.095936,113.477989
ChIJmS4Cns8AAzQRXe6Fvnx7oe4,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
ChIJ9b3VoNIBAzQRHT4U-opJ6-g,中山大学附属口腔医院广州东圃分院,"东圃大马路3号雅怡阁1-2楼, Tian He Qu, Guang Zhou Shi",23.125163,113.394083
ChIJSQ4UvS78AjQRn19cEjQzgz0,Southern Hospital Jizhensuo,"58PH+F57, Yun Jing Lu, Bai Yun Qu, Guang Zhou Shi",23.186154,113.327909
ChIJp2sKvvEGAzQRH2qqOZJOIPI,广州华侨医院分院济慈康复医院,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886
ChIJCwSVZ-viAjQRWjKViX8VLz0,太和医院,"53 Tai He Zhong Lu, Bai Yun Qu, Guang Zhou Shi",23.2918465,113.3571519
ChIJpzQDj00CAzQR63PDhHogJLk,Huangbei Hospital,"126 Lian He Lu, 萝岗区 Huang Pu Qu, Guang Zhou Shi",23.197407,113.4260792
ChIJM-plnon-AjQRKz2ItC7uSrA,China People Wuzhuang Police Budui Guangdong General Team Hospital,"268 Yan Ling Lu, Tian He Qu, Guang Zhou Shi",23.162934,113.331889
ChIJhXIMmFX-AjQRsPd_QNlcLBw,Guangzhou Tianhe Health Inspection Center,"48PP+JFF, Long Kou Xi Lu, 天河公园 Tian He Qu, Guang Zhou Shi",23.136563,113.336184
ChIJee2wOxD8AjQRqhhrCsHdD2o,Guangzhou No.12 People's Hospital,"57WX+MXQ, Yun Shan Bei Lu, Bai Yun Qu, Guang Zhou Shi",23.19671,113.299986
ChIJz1qxqVwAAzQRuMuCGUtrU2w,广州市浪奇实业股份有限公司医务所,"128 Huang Pu Da Dao Dong, Tian He Qu, Guang Zhou Shi",23.11489359999999,113.3923111
