sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
42,30.951505239549206,121.57317458499922,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,29822,1649,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
43,31.0859682135828,121.75327963380232,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,34142,2110,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
44,30.99224342550498,121.58515977518826,ChIJE7Ir1yZ6sjUR0zhoXvHKZlU,43,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803,23560,1856,Huayang,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803
45,31.298243157780394,121.5683771739089,ChIJzU_JlbJ1sjURk5oMMcyoKnA,3,"7HVM+CMX, Lai Yang Lu, Pu Dong Xin Qu",31.293623,121.584244,3089,422,Pujiang Dongxu Health Service Station,"7HVM+CMX, Lai Yang Lu, Pu Dong Xin Qu",31.293623,121.584244
46,30.910839681597768,121.70898104547976,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,39695,2210,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
47,30.886450942021025,121.76615242431647,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,49157,3020,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
48,31.20357991578472,121.13130226112368,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,23521,1750,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
49,30.81438915693264,121.41104375449508,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,33075,1918,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
50,31.172815223699786,121.74310406397232,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,9224,1207,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
51,31.26712942680275,121.39722665166204,ChIJv0lK7cdlsjURLHCiv04x09Q,25,"1139 Xian Xia Lu, Chang Ning Qu",31.208276,121.376323,8214,663,Shanghai United Family Hospital and Clinics,"1139 Xian Xia Lu, Chang Ning Qu",31.208276,121.376323
52,31.13709544289833,121.1084830424836,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,5497,1012,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
53,30.93605319418518,121.89782358218758,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,41481,2345,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
54,31.029114732953342,121.63480756646662,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,31607,2082,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
55,31.09747470029741,121.152414319512,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,14106,1734,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
56,31.03594176348018,121.4857655534334,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,13389,1691,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
