sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
20,23.43324343044894,113.87137217285662,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,13231,1083,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
21,23.794696335791027,113.79246509240836,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,57241,5064,从化市中心医院,China,23.549537,113.5846286
22,23.39699949527319,113.4516226864022,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,5272,484,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
23,22.60334247149348,113.6547981858377,ChIJD2ZXTjMHAzQRYiM2UHx3tD0,35,"红山三路32号, Huang Pu Qu, Guang Zhou Shi",23.095936,113.477989,73148,3524,广州文船小学,"红山三路32号, Huang Pu Qu, Guang Zhou Shi",23.095936,113.477989
24,23.473677183319083,113.01855542952777,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,37432,2382,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
25,23.16246464802483,113.6009914986096,ChIJ5V8xuyIGAzQR5yYMVbVycmA,32,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746,9011,924,Jihua Hospital,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746
26,23.068582826886043,113.38436760387393,ChIJz1qxqVwAAzQRuMuCGUtrU2w,45,"128 Huang Pu Da Dao Dong, Tian He Qu, Guang Zhou Shi",23.11489359999999,113.3923111,9612,862,广州市浪奇实业股份有限公司医务所,"128 Huang Pu Da Dao Dong, Tian He Qu, Guang Zhou Shi",23.11489359999999,113.3923111
27,23.573466513972992,113.48556576549385,ChIJ2x0864UfAzQRmgY5E6xNtU0,21,"北兴镇花都大道北16号, Hua Du Qu, Guang Zhou Shi",23.433805,113.423999,24610,1496,广州市花都区北兴镇卫生院,"北兴镇花都大道北16号, Hua Du Qu, Guang Zhou Shi",23.433805,113.423999
28,23.357766319844675,113.3121433051323,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,13446,1441,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
29,22.80492935015645,113.42861170563891,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,48220,2465,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
30,23.486687537234253,113.2910746735791,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,4095,775,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
31,23.556239917514542,113.54419956956464,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,7034,1356,从化市中心医院,China,23.549537,113.5846286
32,23.162478406811623,113.84654474847848,ChIJKW5AH4oJAzQRGcE6AfxCDyg,1,"3M78+PPF, 望牛墩镇东兴工业园, Dong Guan Shi",23.064324,113.666809,27217,2360,Liwu Villagers' Committee Health Station,"3M78+PPF, 望牛墩镇东兴工业园, Dong Guan Shi",23.064324,113.666809
33,23.324246151540247,113.77549003617588,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,39726,2971,广州华侨医院分院济慈康复医院,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886
34,23.60317073719641,113.7727480675547,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,30717,2967,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
35,23.15218141799713,113.21167630942053,ChIJ46uqr1P4AjQRKF0S9wyk-cg,15,"46WJ+FC4, Gao Qiao Lu, Bai Yun Qu, Guang Zhou Shi",23.146148,113.231072,2872,391,Linshifu,"46WJ+FC4, Gao Qiao Lu, Bai Yun Qu, Guang Zhou Shi",23.146148,113.231072
36,23.414781217998485,113.3034652316827,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,5889,763,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
37,23.683221092327432,113.66760882711708,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,29598,1960,从化市中心医院,China,23.549537,113.5846286
38,23.79222558965147,113.83350065136068,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,51049,3791,从化市中心医院,China,23.549537,113.5846286
39,23.01723601668666,113.43230290573376,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,21262,1290,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
40,23.432511451810115,113.65687047450318,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,20938,3003,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
41,23.177305637171017,113.632509631482,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,9764,1435,广州华侨医院分院济慈康复医院,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886
42,23.80100033794829,113.85273126273697,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,73003,3498,从化市中心医院,China,23.549537,113.5846286
43,22.68276833548784,113.63513913368324,ChIJEeACgUimAzQR78Ni05StcB0,0,"XHRX+GW8, 桥东路, Hong Mei Zhen, Dong Guan Shi",22.991284,113.599831,49881,3720,Guangdong Si'an Hospital,"XHRX+GW8, 桥东路, Hong Mei Zhen, Dong Guan Shi",22.991284,113.599831
44,23.67778641345417,113.5257122448877,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,23428,1904,从化市中心医院,China,23.549537,113.5846286
45,23.15082270632073,113.6957229913352,ChIJwwqe4UQJAzQRhmE_b-NYT7Q,8,"4M74+C3J, Dongguan",23.113599,113.655154,9272,1162,Dongguan Xinyong Hospital,"4M74+C3J, Dongguan",23.113599,113.655154
46,23.423647166935904,113.3286818369533,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,2657,340,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
47,23.03905637169489,113.36010801189536,ChIJv3uZvHIAAzQRVIJAQqK0Grg,17,"3CQ4+2WW, Xin Gang Dong Lu, Hai Zhu Qu, Guang Zhou Shi",23.08760800000001,113.407319,12789,1162,Guangyu Hospital,"3CQ4+2WW, Xin Gang Dong Lu, Hai Zhu Qu, Guang Zhou Shi",23.08760800000001,113.407319
48,23.129085481511527,113.8020731710718,ChIJKW5AH4oJAzQRGcE6AfxCDyg,1,"3M78+PPF, 望牛墩镇东兴工业园, Dong Guan Shi",23.064324,113.666809,18905,1480,Liwu Villagers' Committee Health Station,"3M78+PPF, 望牛墩镇东兴工业园, Dong Guan Shi",23.064324,113.666809
49,23.351371312277383,113.64281001292876,ChIJ2x0864UfAzQRmgY5E6xNtU0,21,"北兴镇花都大道北16号, Hua Du Qu, Guang Zhou Shi",23.433805,113.423999,31143,1394,广州市花都区北兴镇卫生院,"北兴镇花都大道北16号, Hua Du Qu, Guang Zhou Shi",23.433805,113.423999
50,23.470488443757212,113.72538560506986,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,7361,798,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
51,23.37275648665093,113.43937091247112,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,5086,735,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
52,23.76462869693045,113.73230279104968,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,47663,3780,从化市中心医院,China,23.549537,113.5846286
53,23.521132657746715,113.43840002594634,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,20888,2226,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
54,23.29113066788504,113.62771222451546,ChIJI3DSOZ7iAjQRHIuR_zeImPU,9,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067,30637,2362,Hospital for Skin Diseases,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067
55,23.4968893875892,113.13169071352448,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,31359,2108,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
56,23.207407079834216,113.55331654984748,ChIJ5V8xuyIGAzQR5yYMVbVycmA,32,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746,17074,1654,Jihua Hospital,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746
57,23.4164907688744,113.14860891426976,ChIJ7b2BjEDmAjQRJDZQsUgHCcY,47,"新都大道67号, Ying Bin Da Dao, Hua Du Qu, Guang Zhou Shi",23.401531,113.216944,10102,1363,Guangzhou Hospital of Integrated Traditional and Western Medicine,"新都大道67号, Ying Bin Da Dao, Hua Du Qu, Guang Zhou Shi",23.401531,113.216944
58,23.24543656048917,113.45432714876604,ChIJI3DSOZ7iAjQRHIuR_zeImPU,9,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067,10695,1015,Hospital for Skin Diseases,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067
59,23.428210272629943,113.50443630785658,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,13230,1389,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
60,23.112701443660125,113.21273566333176,ChIJl59zmBD5AjQRTufuRh73cmY,18,"344 Guang Yuan Xi Lu, Yue Xiu Qu, Guang Zhou Shi",23.157455,113.255793,9004,777,Baiyun District Maternal and Child Health Hospital,"344 Guang Yuan Xi Lu, Yue Xiu Qu, Guang Zhou Shi",23.157455,113.255793
61,23.6152158419514,113.775990663605,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,41893,3496,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
62,23.21157679340724,113.40935357120244,ChIJxw0elnICAzQR5-em3aIFHtw,59,"59VV+47X, 广汕公路, Tian He Qu, Guang Zhou Shi",23.192863,113.393219,9008,626,天河区柯木塱门诊部,"59VV+47X, 广汕公路, Tian He Qu, Guang Zhou Shi",23.192863,113.393219
63,22.89641336614242,113.45788078976332,ChIJv3uZvHIAAzQRVIJAQqK0Grg,17,"3CQ4+2WW, Xin Gang Dong Lu, Hai Zhu Qu, Guang Zhou Shi",23.08760800000001,113.407319,32412,1875,Guangyu Hospital,"3CQ4+2WW, Xin Gang Dong Lu, Hai Zhu Qu, Guang Zhou Shi",23.08760800000001,113.407319
64,23.682032234008197,113.6715029438936,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,22954,2087,从化市中心医院,China,23.549537,113.5846286
65,23.49591087060129,113.3651307356961,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,9761,1064,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
66,23.46304739356846,113.86674477744668,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,11445,1125,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
67,23.874903787439973,113.95446519917792,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,69644,4178,从化市中心医院,China,23.549537,113.5846286
68,23.355001978535917,113.76185302997308,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,25708,2212,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
69,23.79924720179425,113.69183426126806,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,51131,4518,从化市中心医院,China,23.549537,113.5846286
70,23.312171365358843,113.73273360280652,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,36107,2745,广州华侨医院分院济慈康复医院,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886
71,23.27684910565993,113.78473989797322,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,29705,2022,广州华侨医院分院济慈康复医院,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886
72,23.513790762934374,113.54516540088102,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,8467,1130,从化市中心医院,China,23.549537,113.5846286
73,23.259417917067815,113.61045980003962,ChIJ5V8xuyIGAzQR5yYMVbVycmA,32,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746,20713,2536,Jihua Hospital,"2 Chen Jia Lin Lu, Zeng Cheng Qu, Guang Zhou Shi",23.119628,113.561746
74,23.370016951962985,113.2923621962454,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,18949,1058,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
75,22.85324399247351,113.41166134914666,ChIJD0-ACEBUAjQRFCrpulHz9PM,25,"28G6+7C5, 105国道, Pan Yu Qu, Guang Zhou Shi",23.025648,113.311099,27956,2296,Jialijing,"28G6+7C5, 105国道, Pan Yu Qu, Guang Zhou Shi",23.025648,113.311099
