sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
32,23.162478406811626,113.84654474847848,ChIJKW5AH4oJAzQRGcE6AfxCDyg,1,"3M78+PPF, 望牛墩镇东兴工业园, Dong Guan Shi",23.064324,113.666809,27217,2360
33,23.324246151540247,113.77549003617588,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,39726,2971
34,23.603170737196415,113.7727480675547,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,30717,2967
35,23.152181417997134,113.21167630942051,ChIJ46uqr1P4AjQRKF0S9wyk-cg,15,"46WJ+FC4, Gao Qiao Lu, Bai Yun Qu, Guang Zhou Shi",23.146148,113.231072,2872,391
36,23.414781217998485,113.3034652316827,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,5889,763
37,23.683221092327432,113.66760882711708,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,29598,1960
38,23.79222558965147,113.83350065136068,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,51049,3791
39,23.01723601668666,113.43230290573376,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,21262,1290
40,23.432511451810115,113.65687047450318,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,20938,3003
41,23.177305637171017,113.63250963148201,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,9764,1435
42,23.801000337948295,113.85273126273695,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,73003,3498
43,22.68276833548784,113.63513913368325,ChIJEeACgUimAzQR78Ni05StcB0,0,"XHRX+GW8, 桥东路, Hong Mei Zhen, Dong Guan Shi",22.991284,113.599831,49881,3720
44,23.677786413454175,113.5257122448877,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,23428,1904
45,23.15082270632073,113.6957229913352,ChIJwwqe4UQJAzQRhmE_b-NYT7Q,8,"4M74+C3J, Dongguan",23.113599,113.655154,9272,1162
