sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
61,3.375968299710084,-76.65353126690749,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,15634.0,2887.0
62,3.429981348045453,-76.60323168816468,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,14645.0,1845.0
63,3.432519700297711,-76.66734753109382,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26436.0,3502.0
64,3.310326935579598,-76.59190559500243,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,17146.0,2560.0
65,3.425796455463218,-76.67225713410906,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26867.0,3545.0
66,3.47863442428325,-76.60787728534802,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,14278.0,1702.0
67,3.461088440979595,-76.54328196294496,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,2575.0,624.0
68,3.360505039129768,-76.58360201279237,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,6585.0,1111.0
69,3.339476324655591,-76.56199674527655,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,7629.0,1055.0
70,3.37098529826978,-76.52149364766807,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,1713.0,355.0
