sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
76,6.283659453097536,-75.63594514898492,ChIJE9rpm1ApRI4R21vmmETfKEQ,24,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001,3602,671
77,6.265788828465594,-75.64538761688102,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,1763,551
78,6.228620196065941,-75.55376852759579,ChIJEeAtcfgoRI4Rf9D--xJ9ARc,1,Calle 51 #45-93,6.248909599999999,-75.5644822,4050,1031
79,6.251343609744312,-75.58469316133251,ChIJL8PGSwgpRI4RAl2kIOaptUg,25,Carrera 70 #44B-32,6.250510100000001,-75.588276,1016,260
80,6.263300816865922,-75.51687545923316,ChIJ99a72fooRI4Rp_xBuPado7I,52,Calle 59 #50C-15,6.257900399999999,-75.5653419,17081,2599
81,6.256823762276274,-75.53403159561482,ChIJ99a72fooRI4Rp_xBuPado7I,52,Calle 59 #50C-15,6.257900399999999,-75.5653419,5982,1443
82,6.288854221254955,-75.68062195136936,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,18628,3168
83,6.242124315755287,-75.67968101908268,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,12207,2221
84,6.232317399642062,-75.66678767225207,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,22207,3480
85,6.268783107378002,-75.6648779548616,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,4837,948
86,6.19195621609629,-75.53626148662435,ChIJPebK1vMoRI4R-mn4AoDQ4PM,0,Carrera 20 #2 Sur 185,6.193950699999999,-75.5574488,10255,1384
87,6.23106158464682,-75.68603590345573,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,35083,5578
88,6.249120006709599,-75.60287667709737,ChIJP_nSYp4pRI4RumyOTv74yRI,14,Carrera 83 #37d-59,6.247156400000001,-75.6026789,282,83
89,6.312937018462124,-75.69156275593598,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,15481,1597
90,6.29749098054524,-75.66642770132358,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,6046,887
91,6.269106367590514,-75.56575982689789,ChIJN-kyqecoRI4R7gabYshRvls,59,Sede Clinica Leon XIII BLOQUE 3,6.2669356,-75.5653968,404,126
92,6.296518489405055,-75.5905012594021,ChIJO0hBCNEuRI4R9zic1a3FSpc,9,Carrera 83b #97AA - 82,6.297180799999998,-75.5828885,2246,679
93,6.217025953985699,-75.658579081326,ChIJtSQh7ecpRI4R6R__yB9SNKI,45,Diagonal 75B #5-106,6.217148599999999,-75.5984526,9112,1620
94,6.235602064751943,-75.65335333186684,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,7559,1473
95,6.316038161968491,-75.70544299944146,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,14589,1524
96,6.247698203756173,-75.67742825763901,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,12468,2271
97,6.220570331073047,-75.59855093999222,ChIJtSQh7ecpRI4R6R__yB9SNKI,45,Diagonal 75B #5-106,6.217148599999999,-75.5984526,505,118
98,6.266363732087117,-75.64326078925225,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,1749,546
99,6.202702876571487,-75.49820626873628,ChIJPebK1vMoRI4R-mn4AoDQ4PM,0,Carrera 20 #2 Sur 185,6.193950699999999,-75.5574488,25246,2569
